,0,1,2,3,4,5,6,7,8,9
0,42,0,0,0,0,0,0,0,0,0
1,0,69,0,0,0,0,0,0,0,0
2,0,0,54,0,0,0,0,1,0,1
3,0,0,0,45,0,3,0,0,0,0
4,0,0,0,0,52,0,1,0,0,3
5,0,0,0,0,0,51,0,1,0,0
6,2,0,0,0,0,2,40,0,0,0
7,0,0,1,1,1,0,0,47,0,0
8,2,0,0,0,1,0,0,0,34,3
9,0,0,0,0,0,1,0,0,1,53
