,generation,individual index,training time (s),inference time (ms),accuracy,epochs,r,no_of_conv_kernels,secondary_capsule_vector,dense_1,dense_2,epsilon,m_plus,m_minus,lambda_,alpha,no_of_primary_capsules,primary_capsule_vector,no_of_secondary_capsules
0,1,0,133.5705280303955,12.981342077255249,0.963,5,4,32,14,256,512,0.09246569603627262,0.9213052576859673,0.08772677678913443,0.9225439264525329,0.003150449729711802,32,8,10
1,1,1,55.44501757621765,6.542021036148071,0.951,4,2,32,34,512,1280,0.019754387295855172,0.936982919906672,0.15747564305394168,0.35623031734171345,0.001330107170079046,32,8,10
2,1,2,180.83976793289185,13.007510662078857,0.957,8,4,64,44,768,1792,0.045354889180819875,0.9614064238884973,0.14467168553981946,0.48615124881862104,0.0006575444842721223,32,8,10
3,1,3,111.89284443855286,6.458184003829956,0.966,9,2,64,20,768,7,0.07079379178273043,0.9793929426638139,0.0900301875748532,0.3561169779256219,0.001985135432390735,32,8,10
4,1,4,111.32267761230469,9.903225183486938,0.973,5,3,128,37,512,1536,0.06677504890793434,0.9206514337996552,0.10722758372162677,0.648236369891513,0.0001,32,8,10
5,1,5,44.56823801994324,12.88316535949707,0.807,1,4,64,3,128,768,0.09396956557387214,0.943161399348168,0.17270798508998453,0.5797996795512103,0.005276926933607143,32,8,10
6,1,6,44.045145750045776,6.485800504684448,0.946,2,2,64,37,256,1280,0.07996247117579887,0.9307775568633043,0.18955925299140447,0.781269231669235,0.007701534433497858,32,8,10
7,1,7,230.31020331382751,12.926666021347046,0.968,9,4,64,21,128,1280,0.09350549864221015,0.9162072224559965,0.056111730805627,0.6257811070584595,0.005595546872042992,32,8,10
8,1,8,45.599032163619995,9.665113925933838,0.942,2,3,128,20,512,768,0.03856982154086652,0.9839211286145972,0.19005505856348492,0.37792480833755027,0.006414282490800244,32,8,10
9,1,9,90.80667757987976,9.703523397445679,0.966,4,3,32,21,256,1792,0.06938300564180355,0.9429413240580288,0.1030106812679998,0.64237798576993,0.00026512832068721794,32,8,10
10,1,10,68.1322066783905,9.70839786529541,0.952,3,3,32,35,4,1024,0.027882303284399057,0.9308324143087978,0.1699355351415039,0.16930176991964951,0.0006724066102778857,32,8,10
11,1,11,159.4268307685852,12.952399253845215,0.957,8,4,128,39,128,1024,0.028734760041814328,0.9219828973871166,0.06276756051114389,0.6330340274416376,0.00919059296571837,32,8,10
12,1,12,137.4520502090454,13.000199794769287,0.967,5,4,128,3,256,1280,0.022720645317969555,0.9262853572517519,0.16349204109517404,0.9704074659160942,0.005004222151922546,32,8,10
13,1,13,180.93083095550537,9.910007953643799,0.965,8,3,64,11,128,1024,0.07295131784443008,0.9685635463159776,0.07796813826304984,0.32203511565240606,0.005993373202784323,32,8,10
14,1,14,45.6551628112793,10.031961441040039,0.952,2,3,128,25,128,1536,0.026636924380141664,0.9353237897758886,0.09138037111420275,0.9505572886652214,0.002164944513628071,32,8,10
15,1,15,114.26845240592957,13.1175217628479,0.966,4,4,64,26,128,256,0.0856388494966995,0.9464904817409758,0.07720937447273839,0.5704817497334821,0.0002527334985512513,32,8,10
16,1,16,184.0327250957489,13.117094993591309,0.975,7,4,128,10,128,1280,0.08035836295974468,0.9539532198573608,0.1305429491848955,0.5155197102130485,0.004623459481080551,32,8,10
17,1,17,87.76957631111145,6.508047580718994,0.967,4,2,128,40,128,1536,0.05486582415508541,0.9147251106068102,0.19315090836495002,0.10005201771610862,0.006953190705641483,32,8,10
18,1,18,203.12375783920288,9.774914503097534,0.964,9,3,128,31,256,1536,0.06502875145440225,0.9288716549157556,0.1057200801866621,0.786227152432271,0.00691507776001958,32,8,10
19,1,19,90.77714705467224,9.764288902282715,0.963,4,3,64,27,128,256,0.008362126463741883,0.9250166520988258,0.11548087866419911,0.26143607727463647,0.00960697982509095,32,8,10
20,1,20,90.97382283210754,12.976368188858032,0.961,3,4,128,22,512,1280,0.04270201723419449,0.9429514697108823,0.1391969295470527,0.8630212033708564,0.006648078240035165,32,8,10
21,1,21,44.08323669433594,6.556751489639282,0.946,2,2,32,37,128,1536,0.0973731092545338,0.9095085067606693,0.12457684192941955,0.42448437905481406,0.0066133203331116405,32,8,10
22,1,22,91.00596523284912,12.95374083518982,0.957,3,4,32,45,768,768,0.0972808151478015,0.9844987924191537,0.17282366907305272,0.2524582469459167,0.009647776394694031,32,8,10
