,generation,individual index,training time (s),inference time (ms),accuracy,epochs,r,no_of_conv_kernels,secondary_capsule_vector,dense_1,dense_2,epsilon,m_plus,m_minus,lambda_,alpha,no_of_primary_capsules,primary_capsule_vector,no_of_secondary_capsules
0,1,0,67.83941602706909,13.494296550750732,0.957,2,4,64,25,768,768,0.021582273042341563,0.9040417680530761,0.12793218386200922,0.5952843087713171,0.009706555878237669,32,8,10
1,1,1,90.79472064971924,9.872844219207764,0.962,4,3,64,19,768,1536,0.04263284427607897,0.9186798573241516,0.0881088584194274,0.6519459427426698,0.007427689184826839,32,8,10
2,1,2,90.93959903717041,10.212846279144287,0.844,4,3,3,3,768,768,0.00010405576458310556,0.9405454216661573,0.07760804114355122,0.156048873148338,0.006555114054711995,32,8,10
3,1,3,45.872642517089844,9.988412618637085,0.938,2,3,64,24,256,1792,0.0030968138347916823,0.9566961209785215,0.11353299070044727,0.4753284729339733,0.006276495609923713,32,8,10
4,1,4,132.48987650871277,6.922837257385254,0.964,6,2,32,31,512,768,0.052937897652473614,0.9711880884438757,0.1813265522740452,0.3187090194777956,0.009455386301286084,32,8,10
5,1,5,91.61849975585938,10.140825748443604,0.957,4,3,128,22,512,1536,0.051968273651912096,0.9318767017215859,0.19611366875050756,0.7818894486330014,0.009371452879895072,32,8,10
6,1,6,45.381444454193115,9.964243650436401,0.931,2,3,32,34,768,256,0.07960897474487852,0.9371577274959496,0.1927499069340713,0.3237083773350912,0.00940809376865917,32,8,10
7,1,7,187.37933444976807,13.378482580184937,0.963,7,4,128,8,128,1024,0.06120757826518377,0.9774936285160963,0.08363467737425781,0.931529957559,0.0008788978996523149,32,8,10
8,1,8,68.56251525878906,9.896127223968506,0.941,3,3,32,25,128,768,0.04045226791652931,0.9795825377157973,0.17642016642272496,0.811219679278982,0.006767192841629451,32,8,10
9,1,9,208.38490533828735,13.527378797531128,0.957,8,4,32,25,128,768,0.05790541739260643,0.9686817752869583,0.07037435563086025,0.17341041302189558,0.00422310073619292,32,8,10
10,1,10,175.6877920627594,6.6818389892578125,0.966,8,2,128,19,768,256,0.009866493023652835,0.9269589024898357,0.16119868370327034,0.8051875858259195,0.004342816627665738,32,8,10
11,1,11,68.5915379524231,10.183166980743408,0.96,3,3,64,32,256,1280,0.09003215234764926,0.9643699235409794,0.1310812812712074,0.676330240784237,0.008938607078633944,32,8,10
12,1,12,251.44815278053284,13.116753816604614,0.95,9,4,32,34,128,256,0.057240122209539585,0.9227769145824335,0.1710887914000249,0.8476425804579477,0.003958898578237072,32,8,10
13,1,13,114.74654006958008,13.245980978012085,0.966,4,4,128,43,128,1024,0.09990172808159567,0.9782390609838771,0.187471109141029,0.9266491351515322,0.008486264231375235,32,8,10
14,1,14,131.59959197044373,6.698222398757935,0.961,9,2,32,36,512,1536,0.04858238309983452,0.9152740828020943,0.10494099443442961,0.5257371461962743,0.0008123982934965348,32,8,10
15,1,15,160.79166412353516,13.539315462112427,0.971,6,4,128,28,256,1792,0.04728792754330505,0.9308265867284248,0.05544380300776242,0.6990747240112098,0.006375152219143873,32,8,10
16,1,16,153.89646768569946,6.688453912734985,0.964,7,2,128,7,768,1792,0.013853651423853135,0.9392223795556615,0.17863386888153665,0.6625412053374811,0.006813614033745918,32,8,10
17,1,17,182.37516903877258,9.97998833656311,0.966,7,3,128,35,512,1024,0.00030980024318792823,0.9298094149910849,0.12400048390954457,0.5564747419258679,0.0029020597769374135,32,8,10
18,1,18,132.72633266448975,13.35006046295166,0.953,3,4,64,22,128,1536,0.06090639170554338,0.9708381272172769,0.1626768682052156,0.3494449089774332,0.0035606032296524918,32,8,10
19,1,19,265.03108191490173,13.307084560394287,0.963,6,4,32,5,512,512,0.08738450163116564,0.9424032628538616,0.1559524684384972,0.7637005363985219,0.005430796702382994,32,8,10
20,1,20,66.91564297676086,10.001481056213379,0.957,2,3,128,9,256,1792,0.04255021626830179,0.9100825440510196,0.10511545292394309,0.8857716581373619,0.0019602303519006695,32,8,10
21,1,21,154.11867499351501,6.778238534927368,0.963,7,2,32,6,128,512,0.02330342412380747,0.9537945915362999,0.1347729710600999,0.7677531085747966,0.0008068242251293398,32,8,10
22,1,22,44.817610025405884,13.53768014907837,0.908,1,4,128,48,256,7,0.09736023218955452,0.9699493906006758,0.08835153827353945,0.17571350325927407,0.002220413015128931,32,8,10
23,1,23,22.51316261291504,6.775347948074341,0.902,1,2,128,6,512,1280,0.03759306138437277,0.9379370213778271,0.0630167570147871,0.9142034818562866,0.006225430653374395,32,8,10
24,1,24,112.20126962661743,10.01893424987793,0.959,4,3,32,37,512,1792,0.004260700334852057,0.9647662354510342,0.07351774634059945,0.46991671458111783,0.005174786078989255,32,8,10
25,1,25,21.825242519378662,6.73065710067749,0.883,1,2,32,41,4,512,0.0632854203822415,0.9030468229418419,0.19533660646724793,0.3915355722954258,0.0012489536082200253,32,8,10
