,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,26,0,1,2,5,2,4,2,12,3
automobile,1,16,2,1,1,0,2,1,7,10
bird,11,2,10,1,6,5,14,1,1,0
cat,0,4,8,4,6,9,14,2,0,2
deer,3,2,8,1,8,5,11,2,2,2
dog,3,4,10,5,7,7,7,2,4,1
frog,0,1,1,1,7,5,36,2,1,2
horse,3,1,7,0,3,4,9,16,3,2
ship,18,3,1,0,0,1,2,1,26,5
truck,4,12,1,0,1,0,2,4,13,22
