,generation,individual index,training time (s),inference time (ms),accuracy,epochs,r,no_of_conv_kernels,secondary_capsule_vector,dense_1,dense_2,epsilon,m_plus,m_minus,lambda_,alpha,no_of_primary_capsules,primary_capsule_vector,no_of_secondary_capsules
0,1,0,143.61003422737122,9.111305236816406,0.821,8,3,64,36,768,768,0.01566751280074405,0.9787415799313257,0.14687154876398997,0.24107797436578712,0.0013788017150027612,32,8,10
1,1,1,121.39597511291504,9.114612340927124,0.829,6,3,32,13,512,1792,0.04960808541133293,0.9769282583225743,0.1979368231688149,0.44896755986791315,0.006896279111741264,32,8,10
2,1,2,22.48839044570923,8.976606130599976,0.742,1,3,64,13,768,1024,0.031431344418742714,0.9508415371527724,0.06391728612996657,0.8444328571554988,0.00950527075748968,32,8,10
3,1,3,157.24094247817993,11.797946214675903,0.828,9,4,64,27,512,768,0.05396192166620656,0.9531988640475221,0.1638762364024715,0.19568095257558915,0.008445910023204974,32,8,10
4,1,4,22.53280234336853,9.043804407119751,0.723,1,3,128,49,128,1280,0.00744458986424816,0.9785896560372106,0.13725016777231364,0.5179850076725058,0.0053375696543169066,32,8,10
5,1,5,88.98975586891174,5.893504858016968,0.845,8,2,128,12,768,1280,0.029504546757527582,0.9444747214382394,0.16942272537198422,0.4054119890086356,0.008325556595848115,32,8,10
6,1,6,134.00413131713867,11.691600322723389,0.824,6,4,64,11,128,1792,0.061438908511222634,0.9776629828510253,0.05788521269774149,0.8661284585359608,0.0014797053650133516,32,8,10
7,1,7,134.08808016777039,11.814220666885376,0.795,6,4,32,44,512,512,0.09908783707702579,0.9095488993896156,0.11085923845458308,0.9117221798135968,0.0035426125216746125,32,8,10
8,1,8,100.1577935218811,6.0124969482421875,0.85,9,2,128,16,768,1280,0.0016753828078533903,0.9802231305088845,0.05702053439528059,0.8635078199179559,0.004619804521951665,32,8,10
9,1,9,67.60769057273865,11.7794029712677,0.81,3,4,32,30,512,1792,0.0491492577043407,0.9259207542602018,0.06440439272194931,0.469841045199754,0.0032424615498756336,32,8,10
10,1,10,55.736815452575684,5.95291805267334,0.815,7,2,64,16,4,512,0.014138664780772489,0.9441314209814922,0.057432423050063644,0.17881062480124155,0.007188062837837998,32,8,10
11,1,11,44.758405685424805,5.938583135604858,0.785,4,2,64,8,512,768,0.09750027672330748,0.9567054182111094,0.11252231093291326,0.880212748171269,0.008146779631928757,32,8,10
12,1,12,33.94665741920471,8.907757997512817,0.757,2,3,64,39,128,1792,0.035838275236439676,0.9464613050306858,0.0966667199718832,0.5142062202647635,0.0050279283711360985,32,8,10
13,1,13,89.77703785896301,11.823090314865112,0.806,4,4,64,43,128,1280,0.016708610210050996,0.933920626492299,0.0751850221406619,0.7885748671268188,0.0037882073505812355,32,8,10
14,1,14,55.85276746749878,5.955028772354126,0.826,5,2,32,32,128,512,0.059440108834763646,0.9060333939343957,0.14823867960443565,0.2818216306020721,0.005512078986686472,32,8,10
15,1,15,78.02744054794312,5.928616285324097,0.644,8,2,64,43,256,1024,0.09620445345142067,0.9751820338263365,0.07703174141464453,0.8763124960697312,0.007676867284093893,32,8,10
16,1,16,44.78888416290283,5.975194931030273,0.817,4,2,64,22,256,768,0.0453397325040652,0.9391613767488263,0.08921435686769219,0.5288470067969482,0.0014115218773358108,32,8,10
17,1,17,56.988420724868774,8.925836324691772,0.155,9,3,64,3,256,1280,0.09884465791108309,0.9054876166175249,0.09797391739848546,0.43620083040429136,0.004986780538779675,32,8,10
18,1,18,23.064945220947266,11.755504846572876,0.734,1,4,32,48,512,1024,0.04198272602634543,0.9255697912666088,0.1925041052935783,0.6600843626023923,0.006771034321147825,32,8,10
