,generation,individual index,training time (s),inference time (ms),accuracy,epochs,r,no_of_conv_kernels,secondary_capsule_vector,dense_1,dense_2,epsilon,m_plus,m_minus,lambda_,alpha,no_of_primary_capsules,primary_capsule_vector,no_of_secondary_capsules
0,1,0,40.59836030006409,6.842281341552734,0.93,3,2,32,7,256,1024,0.068594650311965,0.928057052441547,0.11494056490633545,0.4566185754134634,0.0038170330486982994,32,8,10
1,1,1,133.01803302764893,13.427617073059082,0.966,6,4,64,45,512,512,0.0912340197539623,0.9008706804779831,0.057852270458787464,0.7327220994804146,0.005673253423258993,32,8,10
2,1,2,104.14154839515686,13.456039428710938,0.956,5,4,32,39,256,1536,0.07863937992478122,0.9260998826104174,0.1498685782831617,0.6905737098373358,0.0069188933411541325,32,8,10
3,1,3,33.38138294219971,6.917003631591797,0.956,3,2,128,31,256,1280,0.03421883639804362,0.9863149031921608,0.06489564652441705,0.29698417756520756,0.009745972494450314,32,8,10
4,1,4,34.26456904411316,10.04929494857788,0.928,2,3,32,18,128,1792,0.04912668770086202,0.9226725302893072,0.074473772649061,0.3198502909941896,0.0047533986240607135,32,8,10
5,1,5,133.54589748382568,13.78862714767456,0.968,6,4,32,49,128,768,0.05936849765802038,0.9028036273027905,0.13815516415138324,0.3326169595819368,0.007048921963217281,32,8,10
6,1,6,22.432825088500977,6.736866474151611,0.948,2,2,64,28,256,256,0.06452620735861095,0.9551433826702568,0.14569656311231158,0.7516351757260143,0.003426545626421729,32,8,10
7,1,7,151.90826725959778,9.98546838760376,0.95,7,3,64,49,256,512,0.021444446909362327,0.9528201294648568,0.12797869974824796,0.8662156017673693,0.008160843198804108,32,8,10
8,1,8,65.34917330741882,9.888039588928223,0.948,3,3,128,25,512,1792,0.03796418684773025,0.9359421271543862,0.1097579213686582,0.769513103837988,0.0016948789629282078,32,8,10
9,1,9,151.66496801376343,9.81797456741333,0.962,7,3,32,26,128,1280,0.04478570325189796,0.9588458861899891,0.1208828974528182,0.8790298113939671,0.007676114169265295,32,8,10
10,1,10,65.48518228530884,9.788146495819092,0.96,3,3,128,25,512,1792,0.07863937992478122,0.9260998826104174,0.1498685782831617,0.6905737098373358,0.0069188933411541325,32,8,10
11,1,11,110.858895778656,13.154201030731201,0.964,5,4,32,39,256,1536,0.03796418684773025,0.9359421271543862,0.1097579213686582,0.769513103837988,0.0016948789629282078,32,8,10
12,1,12,142.29555821418762,9.797154903411865,0.958,7,3,32,26,128,1280,0.04478570325189796,0.9588458861899891,0.074473772649061,0.3198502909941896,0.0047533986240607135,32,8,10
13,1,13,43.73496079444885,10.06912612915039,0.934,2,3,32,18,128,1792,0.04912668770086202,0.9226725302893072,0.1208828974528182,0.8790298113939671,0.007676114169265295,32,8,10
14,1,14,133.2751064300537,10.053597927093506,0.966,7,3,32,26,128,1280,0.04478570325189796,0.9588458861899891,0.11494056490633545,0.4566185754134634,0.0038170330486982994,32,8,10
15,1,15,31.09749174118042,6.460633277893066,0.946,3,2,32,7,256,1024,0.068594650311965,0.928057052441547,0.1208828974528182,0.8790298113939671,0.007676114169265295,32,8,10
16,1,16,127.27807235717773,13.29874324798584,0.962,6,4,32,49,128,768,0.05936849765802038,0.9028036273027905,0.13815516415138324,0.3326169595819368,0.007048921963217281,32,8,10
17,2,0,113.68379259109497,13.389477252960205,0.962,6,4,64,45,512,512,0.0912340197539623,0.9008706804779831,0.057852270458787464,0.7327220994804146,0.005673253423258993,32,8,10
