,precision,recall,f1-score,support
0,0.9130434782608695,1.0,0.9545454545454545,42.0
1,1.0,1.0,1.0,69.0
2,1.0,0.9642857142857143,0.9818181818181818,56.0
3,0.9772727272727273,0.8958333333333334,0.9347826086956522,48.0
4,0.9622641509433962,0.9107142857142857,0.9357798165137615,56.0
5,0.8596491228070176,0.9423076923076923,0.8990825688073394,52.0
6,0.975609756097561,0.9090909090909091,0.9411764705882352,44.0
7,0.96,0.96,0.96,50.0
8,1.0,0.85,0.9189189189189189,40.0
9,0.84375,0.9818181818181818,0.9075630252100839,55.0
accuracy,0.9453125,0.9453125,0.9453125,0.9453125
macro avg,0.9491589235381571,0.9414050116550117,0.9433667045097629,512.0
weighted avg,0.949567466998311,0.9453125,0.9456694211759074,512.0
