,generation,individual index,training time (s),inference time (ms),accuracy,epochs,r,no_of_conv_kernels,secondary_capsule_vector,dense_1,dense_2,epsilon,m_plus,m_minus,lambda_,alpha,no_of_primary_capsules,primary_capsule_vector,no_of_secondary_capsules
0,1,0,33.10200643539429,7.1781158447265625,0.928,2,2,64,43,512,768,0.016435694694141842,0.9216993706791231,0.08431299749737078,0.7706207928354514,0.0036812689717452486,32,8,10
1,1,1,11.369051218032837,6.85875129699707,0.784,1,2,64,36,128,1024,0.016537143905616312,0.9042407944835789,0.18110957169545394,0.704053208744101,0.002020783182839552,32,8,10
2,1,2,41.33568835258484,6.948309898376465,0.952,4,2,128,11,768,1792,0.01759486101982984,0.9895698605432421,0.17706070053891299,0.11324079911189797,0.0052080460964572,32,8,10
3,1,3,78.20940256118774,10.323869705200195,0.948,6,3,32,45,512,1280,0.023305266636309697,0.9476983474192798,0.10953100655582096,0.13818898584915928,0.00897413251013305,32,8,10
4,1,4,51.191996335983276,6.926116466522217,0.948,5,2,64,6,256,1536,0.019698646149736626,0.9020550227579042,0.05367607088564429,0.10610746416220372,0.002742911940105622,32,8,10
5,1,5,22.67480444908142,13.910171031951904,0.524,1,4,64,46,512,1280,0.09835971152231626,0.9609604072354041,0.10440525975902902,0.8747306129965376,0.008798467343483546,32,8,10
6,1,6,18.711418867111206,7.1231584548950195,0.944,2,2,128,40,512,1280,0.06759926540265171,0.9869819899783396,0.14531184080299198,0.661877543402218,0.0016726022143681218,32,8,10
7,1,7,40.251177072525024,6.9055705070495605,0.954,4,2,64,21,768,768,0.0484463064164578,0.9506832710607153,0.07234088398176097,0.38533120318173486,0.0010070185099816478,32,8,10
8,1,8,67.60703992843628,10.343164920806885,0.952,5,3,128,16,768,256,0.031022803479319058,0.9402062164314837,0.16489817031363485,0.6093850073842909,0.008377551767254052,32,8,10
9,1,9,22.103379011154175,6.7749834060668945,0.93,2,2,64,7,128,768,0.06442939174041573,0.9554639074778064,0.07259519634270026,0.18967872611171233,0.0054014604488009784,32,8,10
10,1,10,47.663156509399414,6.606983184814453,0.946,5,2,64,6,256,1536,0.019698646149736626,0.9830149860153852,0.07234088398176097,0.38533120318173486,0.0010070185099816478,32,8,10
