,generation,individual index,training time (s),inference time (ms),accuracy,epochs,r,no_of_conv_kernels,secondary_capsule_vector,dense_1,dense_2,epsilon,m_plus,m_minus,lambda_,alpha,no_of_primary_capsules,primary_capsule_vector,no_of_secondary_capsules
0,1,0,65.79778456687927,5.989452600479126,0.963,5,2,64,17,768,256,0.04796809600167492,0.9072124703494615,0.12481554565493444,0.17082308015557102,0.0035073162998719306,32,8,10
1,1,1,111.58220767974854,11.565582275390625,0.97,5,4,64,22,768,768,0.09142438098943896,0.9055421325787265,0.09309416763606176,0.2964305756282759,0.009981411822240141,32,8,10
2,1,2,68.25233817100525,8.768654346466064,0.968,5,3,32,29,512,1280,0.033368388341562846,0.9600555557770265,0.1334480552464304,0.8973914002729118,0.00688574032120539,32,8,10
3,1,3,22.661712646484375,5.734447717666626,0.947,2,2,64,6,128,1024,0.0538858369099812,0.94444033536598,0.1539476384945218,0.9683944595580942,0.005273243652833209,32,8,10
4,1,4,77.82602286338806,5.987618446350098,0.971,7,2,128,9,768,1280,0.06323987973834526,0.9310855378393441,0.06409813601362321,0.158419790169704,0.0036856256899229626,32,8,10
5,1,5,55.91064977645874,5.773893356323242,0.961,6,2,32,48,768,7,0.06631178535006095,0.9460553524192404,0.1487887614839518,0.9066504062615615,0.0012909368832047245,32,8,10
6,1,6,89.71624708175659,11.635499715805054,0.96,4,4,128,34,768,1536,0.09062306475978774,0.9133459991132853,0.18140628196896164,0.2956495912600855,0.007444835100189864,32,8,10
7,1,7,33.761648178100586,5.765581846237183,0.959,3,2,128,43,128,1536,0.08416908667991055,0.9317052661133914,0.06953192291184698,0.14303350017053654,0.007429987345730354,32,8,10
8,1,8,11.520676612854004,5.791717767715454,0.916,1,2,32,23,768,1280,0.0581599814030825,0.9437129784310706,0.07475534590241575,0.7104916101251751,0.006349931124169836,32,8,10
9,1,9,44.88921523094177,5.78108549118042,0.961,4,2,32,35,768,512,0.09584317116411169,0.9818114116487939,0.17602060863700342,0.9976139803353139,0.0008482304404713145,32,8,10
10,1,10,200.53448843955994,11.513412475585938,0.962,9,4,128,18,512,256,0.09411518533312428,0.9583330320714216,0.14608706827691065,0.3314979818647191,0.007117123143888266,32,8,10
