,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,52,0,3,0,0,0,1,0,0,0
Trouser,0,52,0,1,0,0,0,0,0,0
Pullover,1,0,46,2,12,0,10,0,0,0
Dress,0,1,0,40,2,0,3,0,0,0
Coat,0,1,8,2,42,0,5,0,0,0
Sandal,0,0,0,0,0,36,0,2,1,1
Shirt,9,0,8,3,8,0,19,0,0,0
Sneaker,0,0,0,0,0,1,0,44,0,3
Bag,0,0,0,0,0,1,1,0,43,0
Ankle boot,0,0,0,0,0,1,0,4,0,43
