,generation,individual index,training time (s),inference time (ms),accuracy,epochs,r,no_of_conv_kernels,secondary_capsule_vector,dense_1,dense_2,epsilon,m_plus,m_minus,lambda_,alpha,no_of_primary_capsules,primary_capsule_vector,no_of_secondary_capsules
0,1,0,54.3858597278595,12.826457977294922,0.892,2,4,64,45,512,1024,0.02160795061254596,0.9475772029475522,0.11805154078246508,0.8410091585639408,0.004730391953709353,32,8,10
1,1,1,105.9561414718628,12.681517124176025,0.954,9,4,32,30,768,1024,0.025134291413124902,0.9550412446588585,0.06804296614942829,0.9927737211074251,0.00012200665863014551,32,8,10
2,1,2,54.15257287025452,12.847884178161621,0.958,4,4,128,30,512,1280,0.06219252695291753,0.9064213206982534,0.05082795276279309,0.7950144084091975,0.007036848874997931,32,8,10
3,1,3,38.08660531044006,6.3578009605407715,0.968,6,2,128,18,512,256,0.0680280472438371,0.9790732720631752,0.15098062055520622,0.8335120816359812,0.0026643620682377314,32,8,10
4,1,4,51.687811613082886,9.554693222045898,0.976,5,3,128,30,512,1024,0.04761648258891022,0.9467455238407176,0.1647953856706708,0.8791935756678704,0.0076787074620521065,32,8,10
5,1,5,66.6245527267456,12.67056655883789,0.962,8,4,128,36,256,1024,0.04944697896949544,0.9258542847945331,0.11594020783935115,0.2464435524706299,0.008478538162291162,32,8,10
6,1,6,16.6549813747406,6.400313377380371,0.93,2,2,64,29,256,256,0.05972579570627321,0.928108616388066,0.07167431927257736,0.21754637450594116,0.0019644991066619295,32,8,10
7,1,7,44.39613604545593,12.714220523834229,0.924,3,4,32,3,128,1792,0.08083564797701684,0.9345459501195235,0.05112452684076888,0.6437156056026292,0.007839377786595832,32,8,10
8,1,8,109.51910257339478,12.670535564422607,0.97,9,4,64,10,768,1280,0.031776283268178974,0.971157010025608,0.10861062850192699,0.8492097202402334,0.0002456662886518142,32,8,10
9,1,9,18.83889651298523,9.513741493225098,0.944,2,3,32,48,768,1792,0.024298035514114233,0.9869918191932834,0.10389227465037958,0.519919707641401,0.008354644802655532,32,8,10
10,1,10,93.88251852989197,12.715123176574707,0.96,9,4,64,30,512,1280,0.06219252695291753,0.9327167076618523,0.05082795276279309,0.7950144084091975,0.007036848874997931,32,8,10
11,1,11,53.45867133140564,12.737586975097656,0.962,4,4,128,10,768,1280,0.031776283268178974,0.971157010025608,0.09282792524356451,0.8492097202402334,0.0002456662886518142,32,8,10
12,1,12,75.85073757171631,12.753856658935547,0.962,8,4,128,36,256,1024,0.04944697896949544,0.971157010025608,0.09282792524356451,0.8492097202402334,0.0002456662886518142,32,8,10
13,1,13,103.36283850669861,12.745166301727295,0.966,9,4,64,10,768,1280,0.031776283268178974,0.9258542847945331,0.11594020783935115,0.2464435524706299,0.008478538162291162,32,8,10
14,1,14,101.40986847877502,12.70851755142212,0.956,9,4,64,10,768,1280,0.031776283268178974,0.971157010025608,0.10861062850192699,0.8492097202402334,0.0002456662886518142,32,8,10
15,1,15,53.984694719314575,12.759337425231934,0.964,4,4,128,30,512,1280,0.06219252695291753,0.9064213206982534,0.05082795276279309,0.7950144084091975,0.007036848874997931,32,8,10
16,2,0,37.2722864151001,6.40592098236084,0.966,6,2,128,18,512,256,0.0680280472438371,0.9790732720631752,0.15098062055520622,0.8335120816359812,0.0026643620682377314,32,8,10
17,2,1,51.389472246170044,9.57759428024292,0.972,5,3,128,30,512,1024,0.04761648258891022,0.9467455238407176,0.1647953856706708,0.8791935756678704,0.0076787074620521065,32,8,10
18,2,2,16.288201093673706,6.390269756317139,0.948,2,2,64,29,256,256,0.05972579570627321,0.928108616388066,0.07167431927257736,0.21754637450594116,0.0019644991066619295,32,8,10
19,2,3,94.57226705551147,12.725693702697754,0.966,9,4,64,10,768,1280,0.031776283268178974,0.971157010025608,0.10861062850192699,0.8492097202402334,0.0002456662886518142,32,8,10
20,2,4,18.7761332988739,9.58673620223999,0.934,2,3,32,48,768,1792,0.024298035514114233,0.9869918191932834,0.10389227465037958,0.519919707641401,0.008354644802655532,32,8,10
21,2,5,63.09737491607666,12.730943202972412,0.972,5,4,128,36,256,1024,0.04944697896949544,0.9258542847945331,0.11594020783935115,0.2464435524706299,0.008478538162291162,32,8,10
22,2,6,105.61714053153992,12.739453315734863,0.956,9,4,32,30,768,1024,0.025134291413124902,0.9550412446588585,0.06804296614942829,0.9927737211074251,0.00012200665863014551,32,8,10
23,2,7,50.64521551132202,11.826806545257568,0.962,4,4,128,30,512,1280,0.06219252695291753,0.9064213206982534,0.05082795276279309,0.7950144084091975,0.007036848874997931,32,8,10
24,2,8,40.4466450214386,11.655799865722656,0.944,3,4,32,3,128,1792,0.08083564797701684,0.9345459501195235,0.05112452684076888,0.6437156056026292,0.007839377786595832,32,8,10
25,2,9,31.31538701057434,11.783260822296143,0.928,2,4,64,45,512,1024,0.02160795061254596,0.9475772029475522,0.11805154078246508,0.8410091585639408,0.004730391953709353,32,8,10
26,2,10,59.31477665901184,11.804365158081055,0.968,5,4,128,36,256,1024,0.05972579570627321,0.928108616388066,0.07167431927257736,0.21754637450594116,0.0019644991066619295,32,8,10
27,2,11,16.10978055000305,5.939201831817627,0.944,2,2,64,29,256,256,0.04944697896949544,0.9258542847945331,0.11594020783935115,0.2464435524706299,0.008478538162291162,32,8,10
28,2,12,36.95300602912903,5.9557929039001465,0.968,6,2,128,30,512,1024,0.04761648258891022,0.9467455238407176,0.1647953856706708,0.8791935756678704,0.0076787074620521065,32,8,10
29,2,13,50.179872274398804,9.742464065551758,0.964,5,3,128,18,512,256,0.0680280472438371,0.9790732720631752,0.15098062055520622,0.8335120816359812,0.0026643620682377314,32,8,10
30,2,14,47.48691463470459,9.596429824829102,0.964,5,3,128,30,512,1024,0.04761648258891022,0.9550412446588585,0.06804296614942829,0.9927737211074251,0.00012200665863014551,32,8,10
31,2,15,110.11378312110901,12.798017024993896,0.958,9,4,32,30,768,1024,0.025134291413124902,0.9467455238407176,0.1647953856706708,0.8791935756678704,0.0076787074620521065,32,8,10
32,2,16,47.401800870895386,9.677553176879883,0.972,5,3,128,30,512,1024,0.04761648258891022,0.9467455238407176,0.1647953856706708,0.8791935756678704,0.0076787074620521065,32,8,10
33,2,17,60.21078872680664,12.129680156707764,0.966,5,4,128,36,256,1024,0.04944697896949544,0.9258542847945331,0.11594020783935115,0.2464435524706299,0.008478538162291162,32,8,10
34,2,18,59.40027117729187,12.0242338180542,0.964,5,4,128,36,256,1024,0.04944697896949544,0.9258542847945331,0.11594020783935115,0.2464435524706299,0.008478538162291162,32,8,10
35,2,19,40.80784225463867,12.016449928283691,0.922,3,4,32,3,128,1792,0.08083564797701684,0.9345459501195235,0.05112452684076888,0.6437156056026292,0.007839377786595832,32,8,10
36,3,0,36.99323487281799,6.018988132476807,0.968,6,2,128,18,512,256,0.0680280472438371,0.9790732720631752,0.15098062055520622,0.8335120816359812,0.0026643620682377314,32,8,10
37,3,1,40.47996973991394,9.059601306915283,0.966,5,3,128,30,4,7,0.04761648258891022,0.9467455238407176,0.1647953856706708,0.8791935756678704,0.0076787074620521065,32,8,10
38,3,2,16.295856952667236,5.963593006134033,0.944,2,2,64,29,256,256,0.05972579570627321,0.928108616388066,0.07167431927257736,0.21754637450594116,0.0019644991066619295,32,8,10
39,3,3,87.74471712112427,12.02980089187622,0.962,8,4,64,10,768,1280,0.017351534314363953,0.971157010025608,0.10861062850192699,0.8492097202402334,0.0002456662886518142,32,8,10
40,3,4,18.779304027557373,9.645368576049805,0.926,2,3,32,48,768,1792,0.024298035514114233,0.9869918191932834,0.10389227465037958,0.519919707641401,0.008354644802655532,32,8,10
