,generation,individual index,training time (s),inference time (ms),accuracy,epochs,r,no_of_conv_kernels,secondary_capsule_vector,dense_1,dense_2,epsilon,m_plus,m_minus,lambda_,alpha,no_of_primary_capsules,primary_capsule_vector,no_of_secondary_capsules
0,1,0,27.180561304092407,6.783313274383545,0.968,4,2,128,45,4,1536,0.06004647082742655,0.9302475507639871,0.057018446487591114,0.6799789904010685,0.0010325968195850463,32,8,10
1,1,1,11.158348798751831,6.3023552894592285,0.862,1,2,128,7,512,768,0.03485369437512677,0.9403541431236102,0.09214406882423434,0.1774381990447234,0.009605298976180654,32,8,10
2,1,2,71.13686394691467,6.466108798980713,0.972,8,2,32,30,256,1536,0.06084468655868371,0.9021393381256068,0.06402791851317265,0.2727563293038246,0.00808388105144706,32,8,10
3,1,3,44.43180251121521,6.379936218261719,0.962,7,2,32,16,128,1024,0.05117997369356028,0.9141399636255713,0.1606020301942391,0.5164611907513724,0.009551364460384138,32,8,10
4,1,4,26.814098834991455,9.545558452606201,0.944,3,3,32,36,128,1536,0.09480201762748564,0.9444536568189562,0.1216686225760572,0.397649046207012,0.008715675899356042,32,8,10
5,1,5,42.09801650047302,12.788248062133789,0.954,3,4,64,25,512,768,0.08038246754598144,0.924404860014705,0.17328391477509106,0.700831066145644,0.0049972863259236154,32,8,10
6,1,6,50.50192213058472,6.4410719871521,0.968,8,2,128,13,768,768,0.09560751187903177,0.9581048772977776,0.17609596442592113,0.5358722642514158,0.006020644724342893,32,8,10
7,1,7,52.28463172912598,9.461526870727539,0.974,5,3,128,29,512,256,0.040510672698993985,0.9346853598070839,0.11223481323771387,0.6394465471104849,0.00023068010223792563,32,8,10
8,1,8,68.1196653842926,9.584440231323242,0.972,7,3,128,47,128,768,0.0649292072765868,0.9377297355709852,0.1302131368364202,0.24719085075258312,0.005764575253142411,32,8,10
9,1,9,46.26216506958008,9.587974548339844,0.964,5,3,32,39,512,512,0.030949398539146487,0.9176768219613953,0.07279241020058555,0.7171333946160381,0.008872189176249054,32,8,10
10,1,10,68.31129622459412,9.600754261016846,0.97,7,3,128,47,128,768,0.0649292072765868,0.9377297355709852,0.1302131368364202,0.24719085075258312,0.006020644724342893,32,8,10
11,1,11,39.325512409210205,6.3814377784729,0.97,8,2,128,13,768,768,0.09560751187903177,0.9581048772977776,0.17609596442592113,0.5358722642514158,0.005764575253142411,32,8,10
12,1,12,50.568936347961426,6.347349166870117,0.968,8,2,32,30,256,1536,0.06004647082742655,0.9302475507639871,0.057018446487591114,0.6799789904010685,0.0010325968195850463,32,8,10
13,1,13,28.11893939971924,6.423801422119141,0.964,4,2,128,45,512,1536,0.06084468655868371,0.9021393381256068,0.06402791851317265,0.2727563293038246,0.00808388105144706,32,8,10
14,1,14,44.66938233375549,12.667956352233887,0.96,3,4,64,25,512,1536,0.06004647082742655,0.9302475507639871,0.057018446487591114,0.6799789904010685,0.0010325968195850463,32,8,10
15,1,15,27.86448860168457,6.40398645401001,0.966,4,2,128,45,512,768,0.08038246754598144,0.924404860014705,0.17328391477509106,0.700831066145644,0.0049972863259236154,32,8,10
16,1,16,44.53072953224182,6.379278182983398,0.952,7,2,32,16,128,768,0.03485369437512677,0.9403541431236102,0.09214406882423434,0.1774381990447234,0.009605298976180654,32,8,10
17,1,17,11.160892248153687,6.402888298034668,0.904,1,2,128,7,512,1024,0.05117997369356028,0.9141399636255713,0.1606020301942391,0.5164611907513724,0.009551364460384138,32,8,10
18,1,18,33.032066106796265,6.439310073852539,0.972,4,2,128,45,4,1536,0.06004647082742655,0.9302475507639871,0.057018446487591114,0.6799789904010685,0.0010325968195850463,32,8,10
